            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,        Sensor,          Gain
1544525580,           2018-12-11 10:53:00,           2018-12-11 04:53:00,3.09,3.654,94.06383,10
1544526180,           2018-12-11 11:03:00,           2018-12-11 05:03:00,3.09,3.633,96.43171,10
1544526780,           2018-12-11 11:13:00,           2018-12-11 05:13:00,3.09,3.665,93.97608,10
1544527380,           2018-12-11 11:23:00,           2018-12-11 05:23:00,3.09,3.623,95.50416,10
1544527980,           2018-12-11 11:33:00,           2018-12-11 05:33:00,3.09,3.633,93.59903,10
1544528580,           2018-12-11 11:43:00,           2018-12-11 05:43:00,3.09,3.654,93.0266,10
1544529180,           2018-12-11 11:53:00,           2018-12-11 05:53:00,3.09,3.654,92.7469,10
1544529780,           2018-12-11 12:03:00,           2018-12-11 06:03:00,3.09,3.633,94.16529,10
1544530380,           2018-12-11 12:13:00,           2018-12-11 06:13:00,3.09,3.633,92.70371,10
1544530980,           2018-12-11 12:23:00,           2018-12-11 06:23:00,3.09,3.644,92.55358,10
1544531580,           2018-12-11 12:33:00,           2018-12-11 06:33:00,3.09,3.644,93.27134,10
1544532180,           2018-12-11 12:43:00,           2018-12-11 06:43:00,3.09,3.654,94.77337,10
1544532780,           2018-12-11 12:53:00,           2018-12-11 06:53:00,3.1,3.602,93.68061,10
1544533380,           2018-12-11 13:03:00,           2018-12-11 07:03:00,3.09,3.675,96.22673,10
1544533980,           2018-12-11 13:13:00,           2018-12-11 07:13:00,3.09,3.665,94.76789,10
1544534580,           2018-12-11 13:23:00,           2018-12-11 07:23:00,3.09,3.665,97.86792,10
1544535180,           2018-12-11 13:33:00,           2018-12-11 07:33:00,3.09,3.696,100.2331,10
1544535780,           2018-12-11 13:43:00,           2018-12-11 07:43:00,3.09,3.665,94.75349,10
1544536380,           2018-12-11 13:53:00,           2018-12-11 07:53:00,3.09,3.623,95.8202,10
1544536980,           2018-12-11 14:03:00,           2018-12-11 08:03:00,3.09,3.696,94.31337,10
1544537580,           2018-12-11 14:13:00,           2018-12-11 08:13:00,3.09,3.654,95.20047,10
1544538180,           2018-12-11 14:23:00,           2018-12-11 08:23:00,3.09,3.633,99.20816,10
1544538780,           2018-12-11 14:33:00,           2018-12-11 08:33:00,3.09,3.665,98.3862,10
1544539380,           2018-12-11 14:43:00,           2018-12-11 08:43:00,3.09,3.686,101.8119,10
1544539980,           2018-12-11 14:53:00,           2018-12-11 08:53:00,3.09,3.686,95.79963,10
1544540580,           2018-12-11 15:03:00,           2018-12-11 09:03:00,3.09,3.696,98.39031,10
1544541180,           2018-12-11 15:13:00,           2018-12-11 09:13:00,3.09,3.654,95.61042,10
1544541780,           2018-12-11 15:23:00,           2018-12-11 09:23:00,3.09,3.686,99.29866,10
1544542380,           2018-12-11 15:33:00,           2018-12-11 09:33:00,3.09,3.633,99.22325,10
1544542980,           2018-12-11 15:43:00,           2018-12-11 09:43:00,3.09,3.654,95.89767,10
1544543580,           2018-12-11 15:53:00,           2018-12-11 09:53:00,3.09,3.686,94.28389,10
1544544180,           2018-12-11 16:03:00,           2018-12-11 10:03:00,3.09,3.665,94.18312,10
1544544780,           2018-12-11 16:13:00,           2018-12-11 10:13:00,3.09,3.696,95.32524,10
1544545380,           2018-12-11 16:23:00,           2018-12-11 10:23:00,3.09,3.665,94.772,10
1544545980,           2018-12-11 16:33:00,           2018-12-11 10:33:00,3.09,3.644,96.48038,10
1544546580,           2018-12-11 16:43:00,           2018-12-11 10:43:00,3.09,3.675,94.48819,10
1544547180,           2018-12-11 16:53:00,           2018-12-11 10:53:00,3.09,3.665,94.7199,10
1544547780,           2018-12-11 17:03:00,           2018-12-11 11:03:00,3.09,3.665,93.55584,10
1544548380,           2018-12-11 17:13:00,           2018-12-11 11:13:00,3.09,3.644,95.97102,10
1544548980,           2018-12-11 17:23:00,           2018-12-11 11:23:00,3.09,3.686,95.34717,10
1544549580,           2018-12-11 17:33:00,           2018-12-11 11:33:00,3.09,3.696,93.68335,10
1544550180,           2018-12-11 17:43:00,           2018-12-11 11:43:00,3.09,3.696,95.66252,10
1544550780,           2018-12-11 17:53:00,           2018-12-11 11:53:00,3.09,3.644,94.16666,10
1544551380,           2018-12-11 18:03:00,           2018-12-11 12:03:00,3.09,3.665,94.17146,10
1544551980,           2018-12-11 18:13:00,           2018-12-11 12:13:00,3.09,3.654,97.03841,10
1544552580,           2018-12-11 18:23:00,           2018-12-11 12:23:00,3.09,3.654,94.90088,10
1544553180,           2018-12-11 18:33:00,           2018-12-11 12:33:00,3.09,3.675,95.25531,10
1544553780,           2018-12-11 18:43:00,           2018-12-11 12:43:00,3.09,3.665,95.18744,10
1544554380,           2018-12-11 18:53:00,           2018-12-11 12:53:00,3.09,3.675,96.50849,10
1544554980,           2018-12-11 19:03:00,           2018-12-11 13:03:00,3.09,3.633,95.43904,10
1544555580,           2018-12-11 19:13:00,           2018-12-11 13:13:00,3.09,3.644,94.88443,10
1544556180,           2018-12-11 19:23:00,           2018-12-11 13:23:00,3.09,3.707,97.77469,10
1544556780,           2018-12-11 19:33:00,           2018-12-11 13:33:00,3.09,3.686,96.45433,10
1544557380,           2018-12-11 19:43:00,           2018-12-11 13:43:00,3.09,3.686,95.76673,10
1544557980,           2018-12-11 19:53:00,           2018-12-11 13:53:00,3.09,3.665,101.3162,10
1544558580,           2018-12-11 20:03:00,           2018-12-11 14:03:00,3.09,3.696,94.64655,10
1544559180,           2018-12-11 20:13:00,           2018-12-11 14:13:00,3.09,3.696,95.36157,10
1544559780,           2018-12-11 20:23:00,           2018-12-11 14:23:00,3.09,3.675,105.2074,10
1544560380,           2018-12-11 20:33:00,           2018-12-11 14:33:00,3.09,3.654,95.48497,10
1544560980,           2018-12-11 20:43:00,           2018-12-11 14:43:00,3.09,3.696,96.83686,10
1544561580,           2018-12-11 20:53:00,           2018-12-11 14:53:00,3.09,3.665,93.49483,10
1544562180,           2018-12-11 21:03:00,           2018-12-11 15:03:00,3.09,3.665,95.70023,10
1544562780,           2018-12-11 21:13:00,           2018-12-11 15:13:00,3.09,3.665,94.72333,10
1544563380,           2018-12-11 21:23:00,           2018-12-11 15:23:00,3.09,3.675,95.62413,10
1544563980,           2018-12-11 21:33:00,           2018-12-11 15:33:00,3.09,3.633,95.22583,10
1544564580,           2018-12-11 21:43:00,           2018-12-11 15:43:00,3.09,3.686,95.74548,10
1544565180,           2018-12-11 21:53:00,           2018-12-11 15:53:00,3.09,3.665,93.35704,10
1544565780,           2018-12-11 22:03:00,           2018-12-11 16:03:00,3.09,3.686,94.81039,10
1544566380,           2018-12-11 22:13:00,           2018-12-11 16:13:00,3.09,3.675,95.26834,10
1544566980,           2018-12-11 22:23:00,           2018-12-11 16:23:00,3.09,3.665,92.79352,10
1544567580,           2018-12-11 22:33:00,           2018-12-11 16:33:00,3.09,3.633,94.29349,10
1544568180,           2018-12-11 22:43:00,           2018-12-11 16:43:00,3.09,3.665,95.37939,10
1544568780,           2018-12-11 22:53:00,           2018-12-11 16:53:00,3.09,3.654,93.34401,10
1544569380,           2018-12-11 23:03:00,           2018-12-11 17:03:00,3.09,3.654,93.93769,10
1544569980,           2018-12-11 23:13:00,           2018-12-11 17:13:00,3.09,3.686,95.21006,10
