sample_id,lake,date,depth,replicate,parameter,value,Flag,
SSB_2020-07-11_0_C,SSB,7/11/20,0,C,CH4_FID,83,1,
SSB_2020-07-11_0_A,SSB,7/11/20,0,A,CO2_TCD,1777,1,
SSB_2020-07-11_0_B,SSB,7/11/20,0,B,CO2_TCD,1716,1,
SSB_2020-07-11_0_C,SSB,7/11/20,0,C,CO2_TCD,1987,1,
SSB_2020-07-11_0_A,SSB,7/11/20,0,A,N2O_ECD,-1,0,
SSB_2020-07-11_0_B,SSB,7/11/20,0,B,N2O_ECD,0,0,
SSB_2020-07-11_0_C,SSB,7/11/20,0,C,N2O_ECD,-1,0,
SSB_2020-07-11_3_A,SSB,7/11/20,3,A,CH4_TCD,10698,0,
SSB_2020-07-11_3_B,SSB,7/11/20,3,B,CH4_TCD,9714,0,
SSB_2020-07-11_3_C,SSB,7/11/20,3,C,CH4_TCD,10826,0,
SSB_2020-07-11_3_A,SSB,7/11/20,3,A,CO2_TCD,12468,0,
SSB_2020-07-11_3_B,SSB,7/11/20,3,B,CO2_TCD,11526,0,
SSB_2020-07-11_3_C,SSB,7/11/20,3,C,CO2_TCD,12989,0,
SSB_2020-07-11_3_A,SSB,7/11/20,3,A,N2O_ECD,-1,0,
SSB_2020-07-11_3_B,SSB,7/11/20,3,B,N2O_ECD,-1,0,
SSB_2020-07-11_3_C,SSB,7/11/20,3,C,N2O_ECD,0,0,
SSB_2020-7-11_5_A,SSB,7/11/20,5,A,CH4_TCD,13873,0,
SSB_2020-07-11_5_B,SSB,7/11/20,5,B,CH4_TCD,14177,0,
SSB_2020-07-11_5_C,SSB,7/11/20,5,C,CH4_TCD,13550,0,
SSB_2020-7-11_5_A,SSB,7/11/20,5,A,CO2_TCD,13416,0,
SSB_2020-07-11_5_B,SSB,7/11/20,5,B,CO2_TCD,13182,0,
SSB_2020-07-11_5_C,SSB,7/11/20,5,C,CO2_TCD,13114,0,
SSB_2020-7-11_5_A,SSB,7/11/20,5,A,N2O_ECD,-1,0,
SSB_2020-07-11_5_B,SSB,7/11/20,5,B,N2O_ECD,0,0,
SSB_2020-07-11_5_C,SSB,7/11/20,5,C,N2O_ECD,-1,0,
SSB_2020-07-11_7_A,SSB,7/11/20,7,A,CH4_TCD,48839,0,
SSB_2020-07-11_7_B,SSB,7/11/20,7,B,CH4_TCD,48096,0,
SSB_2020-07-11_7_C,SSB,7/11/20,7,C,CH4_TCD,46937,0,
SSB_2020-07-11_7_A,SSB,7/11/20,7,A,CO2_TCD,20656,0,
SSB_2020-07-11_7_B,SSB,7/11/20,7,B,CO2_TCD,20487,0,
SSB_2020-07-11_7_C,SSB,7/11/20,7,C,CO2_TCD,20477,0,
SSB_2020-07-11_7_A,SSB,7/11/20,7,A,N2O_ECD,-1,0,
SSB_2020-07-11_7_B,SSB,7/11/20,7,B,N2O_ECD,-1,0,
SSB_2020-07-11_7_C,SSB,7/11/20,7,C,N2O_ECD,-1,0,
SSB_2020-07-11_Air_1,SSB,7/11/20,Air,1,CH4_FID,42,1,
SSB_2020-07-11_Air_2,SSB,7/11/20,Air,2,CH4_FID,11,1,
SSB_2020-07-11_Air_3,SSB,7/11/20,Air,3,CH4_FID,699,1,
SSB_2020-07-11_Air_1,SSB,7/11/20,Air,1,CO2_FID,391,1,
SSB_2020-07-11_Air_2,SSB,7/11/20,Air,2,CO2_FID,354,1,
SSB_2020-07-11_Air_3,SSB,7/11/20,Air,3,CO2_FID,714,1,
SSB_2020-07-11_Air_1,SSB,7/11/20,Air,1,N2O_ECD,-1,0,
SSB_2020-07-11_Air_2,SSB,7/11/20,Air,2,N2O_ECD,-1,0,
SSB_2020-07-11_Air_3,SSB,7/11/20,Air,3,N2O_ECD,-1,0,
SSB_2020-07-16_0_A,SSB,7/16/20,0,A,CH4_FID,56,1,
SSB_2020-07-16_0_B,SSB,7/16/20,0,B,CH4_FID,93,1,
SSB_2020-07-16_0_C,SSB,7/16/20,0,C,CH4_FID,127,1,
SSB_2020-07-16_0_A,SSB,7/16/20,0,A,CO2_TCD,1569,1,
SSB_2020-07-16_0_B,SSB,7/16/20,0,B,CO2_TCD,2348,1,
SSB_2020-07-16_0_C,SSB,7/16/20,0,C,CO2_TCD,1737,1,
SSB_2020-07-16_0_A,SSB,7/16/20,0,A,N2O_ECD,0,0,
SSB_2020-07-16_0_B,SSB,7/16/20,0,B,N2O_ECD,-1,0,
SSB_2020-07-16_0_C,SSB,7/16/20,0,C,N2O_ECD,0,0,
SSB_2020-07-16_3_A,SSB,7/16/20,3,A,CH4_TCD,6404,1,
SSB_2020-07-16_3_B,SSB,7/16/20,3,B,CH4_TCD,10686,1,
SSB_2020-07-16_3_C,SSB,7/16/20,3,C,CH4_TCD,6116,1,
SSB_2020-07-16_3_A,SSB,7/16/20,3,A,CO2_TCD,7754,1,
SSB_2020-07-16_3_B,SSB,7/16/20,3,B,CO2_TCD,12882,1,
SSB_2020-07-16_3_C,SSB,7/16/20,3,C,CO2_TCD,7601,1,
SSB_2020-07-16_3_A,SSB,7/16/20,3,A,N2O_ECD,0,0,
SSB_2020-07-16_3_B,SSB,7/16/20,3,B,N2O_ECD,-1,0,
SSB_2020-07-16_3_C,SSB,7/16/20,3,C,N2O_ECD,-1,0,
SSB_2020-07-16_5_A,SSB,7/16/20,5,A,CH4_TCD,13024,1,
SSB_2020-07-16_5_B,SSB,7/16/20,5,B,CH4_TCD,12871,1,
SSB_2020-07-16_5_C,SSB,7/16/20,5,C,CH4_TCD,8104,1,
SSB_2020-07-16_5_A,SSB,7/16/20,5,A,CO2_TCD,12802,1,
SSB_2020-07-16_5_B,SSB,7/16/20,5,B,CO2_TCD,12438,1,
SSB_2020-07-16_5_C,SSB,7/16/20,5,C,CO2_TCD,8337,1,
SSB_2020-07-16_5_A,SSB,7/16/20,5,A,N2O_ECD,0,0,
SSB_2020-07-16_5_B,SSB,7/16/20,5,B,N2O_ECD,-1,0,
SSB_2020-07-16_5_C,SSB,7/16/20,5,C,N2O_ECD,0,0,
SSB_2020-07-16_7_A,SSB,7/16/20,7,A,CH4_TCD,46206,0,
SSB_2020-07-16_7_B,SSB,7/16/20,7,B,CH4_TCD,45207,0,
SSB_2020-07-16_7_C,SSB,7/16/20,7,C,CH4_TCD,44253,0,
SSB_2020-07-16_7_A,SSB,7/16/20,7,A,CO2_TCD,19896,0,
SSB_2020-07-16_7_B,SSB,7/16/20,7,B,CO2_TCD,19871,0,
SSB_2020-07-16_7_C,SSB,7/16/20,7,C,CO2_TCD,19758,0,
SSB_2020-07-16_7_A,SSB,7/16/20,7,A,N2O_ECD,-1,0,
SSB_2020-07-16_7_B,SSB,7/16/20,7,B,N2O_ECD,-1,0,
SSB_2020-07-16_7_C,SSB,7/16/20,7,C,N2O_ECD,-1,0,
SSB_2020-07-16_Air_1,SSB,7/16/20,Air,1,CH4_FID,139,1,
SSB_2020-07-16_Air_2,SSB,7/16/20,Air,2,CH4_FID,32,1,
SSB_2020-07-16_Air_3,SSB,7/16/20,Air,3,CH4_TCD,1189,1,
SSB_2020-07-16_Air_1,SSB,7/16/20,Air,1,CO2_FID,392,1,
SSB_2020-07-16_Air_2,SSB,7/16/20,Air,2,CO2_FID,362,1,
SSB_2020-07-16_Air_3,SSB,7/16/20,Air,3,CO2_FID,889,1,
SSB_2020-07-16_Air_3,SSB,7/16/20,Air,3,CO2_TCD,1010,1,
SSB_2020-07-16_Air_1,SSB,7/16/20,Air,1,N2O_ECD,-1,0,
SSB_2020-07-16_Air_2,SSB,7/16/20,Air,2,N2O_ECD,-1,0,
SSB_2020-07-16_Air_3,SSB,7/16/20,Air,3,N2O_ECD,-1,0,
SSB_2020-07-23_0_A,SSB,7/23/20,0,A,CH4_FID,182,0,
SSB_2020-07-23_0_C,SSB,7/23/20,0,C,CH4_FID,172,0,
SSB_2020-07-23_0_A,SSB,7/23/20,0,A,CO2_TCD,3957,0,
SSB_2020-07-23_0_C,SSB,7/23/20,0,C,CO2_TCD,3926,0,
SSB_2020-07-23_0_A,SSB,7/23/20,0,A,N2O_ECD,0,0,
SSB_2020-07-23_0_C,SSB,7/23/20,0,C,N2O_ECD,0,0,
SSB_2020-07-23_3_A,SSB,7/23/20,3,A,CH4_TCD,10354,0,
SSB_2020-07-23_3_B,SSB,7/23/20,3,B,CH4_TCD,10791,0,
SSB_2020-07-23_3_C,SSB,7/23/20,3,C,CH4_TCD,10772,0,
SSB_2020-07-23_3_A,SSB,7/23/20,3,A,CO2_TCD,12340,0,
SSB_2020-07-23_3_B,SSB,7/23/20,3,B,CO2_TCD,12438,0,
SSB_2020-07-23_3_C,SSB,7/23/20,3,C,CO2_TCD,12372,0,
SSB_2020-07-23_3_A,SSB,7/23/20,3,A,N2O_ECD,-1,0,
SSB_2020-07-23_3_B,SSB,7/23/20,3,B,N2O_ECD,-1,0,
SSB_2020-07-23_3_C,SSB,7/23/20,3,C,N2O_ECD,-1,0,
SSB_2020-07-23_5_A,SSB,7/23/20,5,A,CH4_TCD,14992,0,
SSB_2020-07-23_5_B,SSB,7/23/20,5,B,CH4_TCD,14323,0,
SSB_2020-07-23_5_C,SSB,7/23/20,5,C,CH4_TCD,14829,0,
SSB_2020-07-23_5_A,SSB,7/23/20,5,A,CO2_TCD,13057,0,
SSB_2020-07-23_5_B,SSB,7/23/20,5,B,CO2_TCD,13024,0,
SSB_2020-07-23_5_C,SSB,7/23/20,5,C,CO2_TCD,13061,0,
SSB_2020-07-23_5_A,SSB,7/23/20,5,A,N2O_ECD,-1,0,
SSB_2020-07-23_5_B,SSB,7/23/20,5,B,N2O_ECD,0,0,
SSB_2020-07-23_5_C,SSB,7/23/20,5,C,N2O_ECD,-1,0,
SSB_2020-07-23_7_A,SSB,7/23/20,7,A,CH4_TCD,46142,0,
SSB_2020-07-23_7_B,SSB,7/23/20,7,B,CH4_TCD,45141,0,
SSB_2020-07-23_7_C,SSB,7/23/20,7,C,CH4_TCD,45473,0,
SSB_2020-07-23_7_A,SSB,7/23/20,7,A,CO2_TCD,19397,0,
SSB_2020-07-23_7_B,SSB,7/23/20,7,B,CO2_TCD,19181,0,
SSB_2020-07-23_7_C,SSB,7/23/20,7,C,CO2_TCD,19109,0,
SSB_2020-07-23_7_A,SSB,7/23/20,7,A,N2O_ECD,-1,0,
SSB_2020-07-23_7_B,SSB,7/23/20,7,B,N2O_ECD,-1,0,
SSB_2020-07-23_7_C,SSB,7/23/20,7,C,N2O_ECD,-1,0,
SSB_2020-07-23_Air_2,SSB,7/23/20,Air,2,CH4_FID,37,1,
SSB_2020-07-23_Air_3,SSB,7/23/20,Air,3,CH4_FID,598,1,
SSB_2020-07-23_Air_3,SSB,7/23/20,Air,3,CH4_FID,45,1,
SSB_2020-07-23_Air_2,SSB,7/23/20,Air,2,CO2_FID,375,1,
SSB_2020-07-23_Air_3,SSB,7/23/20,Air,3,CO2_FID,616,1,
SSB_2020-07-23_Air_3,SSB,7/23/20,Air,3,CO2_FID,371,1,
SSB_2020-07-23_Air_2,SSB,7/23/20,Air,2,N2O_ECD,0,0,
SSB_2020-07-23_Air_3,SSB,7/23/20,Air,3,N2O_ECD,0,0,
SSB_2020-07-23_Air_3,SSB,7/23/20,Air,3,N2O_ECD,0,0,
SSB_2020-07-28_0_A,SSB,7/28/20,0,A,CH4_FID,44,0,
SSB_2020-07-28_0_B,SSB,7/28/20,0,B,CH4_FID,43,0,
SSB_2020-07-28_0_C,SSB,7/28/20,0,C,CH4_FID,61,0,
SSB_2020-07-28_0_A,SSB,7/28/20,0,A,CO2_TCD,2660,0,
SSB_2020-07-28_0_B,SSB,7/28/20,0,B,CO2_TCD,2749,0,
SSB_2020-07-28_0_C,SSB,7/28/20,0,C,CO2_TCD,2760,0,
SSB_2020-07-28_0_A,SSB,7/28/20,0,A,N2O_ECD,0,0,
SSB_2020-07-28_0_B,SSB,7/28/20,0,B,N2O_ECD,0,0,
SSB_2020-07-28_0_C,SSB,7/28/20,0,C,N2O_ECD,0,0,
SSB_2020-07-28_3_A,SSB,7/28/20,3,A,CH4_TCD,12333,0,
SSB_2020-07-28_3_B,SSB,7/28/20,3,B,CH4_TCD,12516,0,
SSB_2020-07-28_3_C,SSB,7/28/20,3,C,CH4_TCD,11803,0,
SSB_2020-07-28_3_A,SSB,7/28/20,3,A,CO2_TCD,13234,0,
SSB_2020-07-28_3_B,SSB,7/28/20,3,B,CO2_TCD,13217,0,
SSB_2020-07-28_3_C,SSB,7/28/20,3,C,CO2_TCD,13165,0,
SSB_2020-07-28_3_A,SSB,7/28/20,3,A,N2O_ECD,0,0,
SSB_2020-07-28_3_B,SSB,7/28/20,3,B,N2O_ECD,0,0,
SSB_2020-07-28_3_C,SSB,7/28/20,3,C,N2O_ECD,-1,0,
SSB_2020-07-28_5_A,SSB,7/28/20,5,A,CH4_TCD,15133,0,
SSB_2020-07-28_5_B,SSB,7/28/20,5,B,CH4_TCD,14342,0,
