"analysis_date"	"sample_id"	"lake"	"date"	"depth"	"replicate"	"parameter"	"value"
"143"	"1/16/21 2:06"	"SSB_2020-10-30_0_C"	"SSB"	2020-10-30	"0"	"C"	"CH4_TCD"	3721
"144"	"1/16/21 2:06"	"SSB_2020-10-30_0_C"	"SSB"	2020-10-30	"0"	"C"	"N2O_ECD"	0
"145"	"1/16/21 2:21"	"SSB_2020-10-30_3_A"	"SSB"	2020-10-30	"3"	"A"	"CO2_TCD"	7243
"146"	"1/16/21 2:21"	"SSB_2020-10-30_3_A"	"SSB"	2020-10-30	"3"	"A"	"CH4_TCD"	3407
"147"	"1/16/21 2:21"	"SSB_2020-10-30_3_A"	"SSB"	2020-10-30	"3"	"A"	"N2O_ECD"	0
"148"	"1/16/21 2:36"	"SSB_2020-10-30_3_B"	"SSB"	2020-10-30	"3"	"B"	"CO2_TCD"	7382
"149"	"1/16/21 2:36"	"SSB_2020-10-30_3_B"	"SSB"	2020-10-30	"3"	"B"	"CH4_TCD"	3722
"150"	"1/16/21 2:36"	"SSB_2020-10-30_3_B"	"SSB"	2020-10-30	"3"	"B"	"N2O_ECD"	-1
"151"	"1/16/21 2:51"	"SSB_2020-10-30_3_C"	"SSB"	2020-10-30	"3"	"C"	"CO2_TCD"	7312
"152"	"1/16/21 2:51"	"SSB_2020-10-30_3_C"	"SSB"	2020-10-30	"3"	"C"	"CH4_TCD"	4136
"153"	"1/16/21 2:51"	"SSB_2020-10-30_3_C"	"SSB"	2020-10-30	"3"	"C"	"N2O_ECD"	-1
"154"	"1/16/21 3:06"	"SSB_2020-10-30_5_A"	"SSB"	2020-10-30	"5"	"A"	"CO2_TCD"	7221
"155"	"1/16/21 3:06"	"SSB_2020-10-30_5_A"	"SSB"	2020-10-30	"5"	"A"	"CH4_TCD"	3886
"156"	"1/16/21 3:06"	"SSB_2020-10-30_5_A"	"SSB"	2020-10-30	"5"	"A"	"N2O_ECD"	-1
"157"	"1/16/21 3:21"	"SSB_2020-10-30_5_B"	"SSB"	2020-10-30	"5"	"B"	"CO2_TCD"	7117
"158"	"1/16/21 3:21"	"SSB_2020-10-30_5_B"	"SSB"	2020-10-30	"5"	"B"	"CH4_TCD"	3770
"159"	"1/16/21 3:21"	"SSB_2020-10-30_5_B"	"SSB"	2020-10-30	"5"	"B"	"N2O_ECD"	-1
"160"	"1/16/21 3:36"	"SSB_2020-10-30_5_C"	"SSB"	2020-10-30	"5"	"C"	"CO2_TCD"	7260
"161"	"1/16/21 3:36"	"SSB_2020-10-30_5_C"	"SSB"	2020-10-30	"5"	"C"	"CH4_TCD"	4044
"162"	"1/16/21 3:36"	"SSB_2020-10-30_5_C"	"SSB"	2020-10-30	"5"	"C"	"N2O_ECD"	-1
"163"	"1/16/21 3:51"	"SSB_2020-10-30_7_A"	"SSB"	2020-10-30	"7"	"A"	"CO2_TCD"	7045
"164"	"1/16/21 3:51"	"SSB_2020-10-30_7_A"	"SSB"	2020-10-30	"7"	"A"	"CH4_TCD"	3560
"165"	"1/16/21 3:51"	"SSB_2020-10-30_7_A"	"SSB"	2020-10-30	"7"	"A"	"N2O_ECD"	-1
"166"	"1/16/21 4:07"	"SSB_2020-10-30_7_B"	"SSB"	2020-10-30	"7"	"B"	"CO2_TCD"	7150
"167"	"1/16/21 4:07"	"SSB_2020-10-30_7_B"	"SSB"	2020-10-30	"7"	"B"	"CH4_TCD"	3812
"168"	"1/16/21 4:07"	"SSB_2020-10-30_7_B"	"SSB"	2020-10-30	"7"	"B"	"N2O_ECD"	-1
"169"	"1/16/21 4:22"	"SSB_2020-10-30_7_C"	"SSB"	2020-10-30	"7"	"C"	"CO2_TCD"	7269
"170"	"1/16/21 4:22"	"SSB_2020-10-30_7_C"	"SSB"	2020-10-30	"7"	"C"	"CH4_TCD"	3975
"171"	"1/16/21 4:22"	"SSB_2020-10-30_7_C"	"SSB"	2020-10-30	"7"	"C"	"N2O_ECD"	0
"172"	"1/16/21 4:37"	"SSB_2020-10-30_Air_1"	"SSB"	2020-10-30	"Air"	"1"	"CO2_FID"	361
"173"	"1/16/21 4:37"	"SSB_2020-10-30_Air_1"	"SSB"	2020-10-30	"Air"	"1"	"CH4_FID"	15
"174"	"1/16/21 4:37"	"SSB_2020-10-30_Air_1"	"SSB"	2020-10-30	"Air"	"1"	"N2O_ECD"	0
"175"	"1/16/21 4:52"	"SSB_2020-10-30_Air_2"	"SSB"	2020-10-30	"Air"	"2"	"CO2_FID"	348
"176"	"1/16/21 4:52"	"SSB_2020-10-30_Air_2"	"SSB"	2020-10-30	"Air"	"2"	"CH4_FID"	6
"177"	"1/16/21 4:52"	"SSB_2020-10-30_Air_2"	"SSB"	2020-10-30	"Air"	"2"	"N2O_ECD"	0
"178"	"1/16/21 5:07"	"SSB_2020-10-30_Air_3"	"SSB"	2020-10-30	"Air"	"3"	"CO2_FID"	343
"179"	"1/16/21 5:07"	"SSB_2020-10-30_Air_3"	"SSB"	2020-10-30	"Air"	"3"	"CH4_FID"	4
"180"	"1/16/21 5:07"	"SSB_2020-10-30_Air_3"	"SSB"	2020-10-30	"Air"	"3"	"N2O_ECD"	0
"181"	"1/16/21 5:22"	"SSB_2021-01-13_0_A"	"SSB"	2021-01-13	"0"	"A"	"CO2_TCD"	6051
"182"	"1/16/21 5:22"	"SSB_2021-01-13_0_A"	"SSB"	2021-01-13	"0"	"A"	"CH4_FID"	518
"183"	"1/16/21 5:22"	"SSB_2021-01-13_0_A"	"SSB"	2021-01-13	"0"	"A"	"N2O_ECD"	0
"184"	"1/16/21 5:37"	"SSB_2021-01-13_0_B"	"SSB"	2021-01-13	"0"	"B"	"CO2_TCD"	6551
"185"	"1/16/21 5:37"	"SSB_2021-01-13_0_B"	"SSB"	2021-01-13	"0"	"B"	"CH4_FID"	671
"186"	"1/16/21 5:37"	"SSB_2021-01-13_0_B"	"SSB"	2021-01-13	"0"	"B"	"N2O_ECD"	-1
"187"	"1/16/21 5:52"	"SSB_2021-01-13_0_C"	"SSB"	2021-01-13	"0"	"C"	"CO2_TCD"	6822
"188"	"1/16/21 5:52"	"SSB_2021-01-13_0_C"	"SSB"	2021-01-13	"0"	"C"	"CH4_FID"	74
"189"	"1/16/21 5:52"	"SSB_2021-01-13_0_C"	"SSB"	2021-01-13	"0"	"C"	"N2O_ECD"	-1
"190"	"1/16/21 6:07"	"SSB_2021-01-13_3_A"	"SSB"	2021-01-13	"3"	"A"	"CO2_TCD"	7173
"191"	"1/16/21 6:07"	"SSB_2021-01-13_3_A"	"SSB"	2021-01-13	"3"	"A"	"CH4_TCD"	1849
"192"	"1/16/21 6:07"	"SSB_2021-01-13_3_A"	"SSB"	2021-01-13	"3"	"A"	"N2O_ECD"	0
"193"	"1/16/21 6:22"	"SSB_2021-01-13_3_B"	"SSB"	2021-01-13	"3"	"B"	"CO2_TCD"	7320
"194"	"1/16/21 6:22"	"SSB_2021-01-13_3_B"	"SSB"	2021-01-13	"3"	"B"	"CH4_TCD"	2110
"195"	"1/16/21 6:22"	"SSB_2021-01-13_3_B"	"SSB"	2021-01-13	"3"	"B"	"N2O_ECD"	-1
"196"	"1/16/21 6:37"	"SSB_2021-01-13_3_C"	"SSB"	2021-01-13	"3"	"C"	"CO2_TCD"	6848
"197"	"1/16/21 6:37"	"SSB_2021-01-13_3_C"	"SSB"	2021-01-13	"3"	"C"	"CH4_TCD"	1922
"198"	"1/16/21 6:37"	"SSB_2021-01-13_3_C"	"SSB"	2021-01-13	"3"	"C"	"N2O_ECD"	-1
"199"	"1/16/21 6:52"	"SSB_2021-01-13_5_A"	"SSB"	2021-01-13	"5"	"A"	"CO2_TCD"	7552
"200"	"1/16/21 6:52"	"SSB_2021-01-13_5_A"	"SSB"	2021-01-13	"5"	"A"	"CH4_TCD"	3791
"201"	"1/16/21 6:52"	"SSB_2021-01-13_5_A"	"SSB"	2021-01-13	"5"	"A"	"N2O_ECD"	-1
"202"	"1/16/21 7:07"	"SSB_2021-01-13_5_B"	"SSB"	2021-01-13	"5"	"B"	"CO2_TCD"	7519
"203"	"1/16/21 7:07"	"SSB_2021-01-13_5_B"	"SSB"	2021-01-13	"5"	"B"	"CH4_TCD"	3854
"204"	"1/16/21 7:07"	"SSB_2021-01-13_5_B"	"SSB"	2021-01-13	"5"	"B"	"N2O_ECD"	0
"205"	"1/16/21 7:22"	"SSB_2021-01-13_5_C"	"SSB"	2021-01-13	"5"	"C"	"CO2_TCD"	7717
