Serial Number:20472262 --

"Date Time, GMT -0600","Temp, (*F)","Intensity, ( lum/ft2)","Host Connect","Button Down","Button Up","EOF"
2019-11-06 00:31:28,59.72,0, , , , 
2019-11-06 00:41:28,59.49,0, , , , 
2019-11-06 00:51:28,59.79,0, , , , 
2019-11-06 01:01:28,59.79,0, , , , 
2019-11-06 01:11:28,59.79,0, , , , 
2019-11-06 01:21:28,59.64,0, , , , 
2019-11-06 01:31:28,59.56,0, , , , 
2019-11-06 01:41:28,59.41,0, , , , 
2019-11-06 01:51:28,59.49,0, , , , 
2019-11-06 02:01:28,59.41,0, , , , 
2019-11-06 02:11:28,59.56,0, , , , 
2019-11-06 02:21:28,59.56,0, , , , 
2019-11-06 02:31:28,59.18,0, , , , 
2019-11-06 02:41:28,59.41,0, , , , 
2019-11-06 02:51:28,59.41,0, , , , 
2019-11-06 03:01:28,59.49,0, , , , 
2019-11-06 03:11:28,59.49,0, , , , 
2019-11-06 03:21:28,59.56,0, , , , 
2019-11-06 03:31:28,59.18,0, , , , 
2019-11-06 03:41:28,59.18,0, , , , 
2019-11-06 03:51:28,59.25,0, , , , 
2019-11-06 04:01:28,59.18,0, , , , 
2019-11-06 04:11:28,59.25,0, , , , 
2019-11-06 04:21:28,59.33,0, , , , 
2019-11-06 04:31:28,59.49,0, , , , 
2019-11-06 04:41:28,59.33,0, , , , 
2019-11-06 04:51:28,59.18,0, , , , 
2019-11-06 05:01:28,59.10,0, , , , 
2019-11-06 05:11:28,58.87,0, , , , 
2019-11-06 05:21:28,58.95,0, , , , 
2019-11-06 05:31:28,59.02,0, , , , 
2019-11-06 05:41:28,58.95,0, , , , 
2019-11-06 05:51:28,58.71,0, , , , 
2019-11-06 06:01:28,58.40,0, , , , 
2019-11-06 06:11:28,58.56,0, , , , 
2019-11-06 06:21:28,58.40,0, , , , 
2019-11-06 06:31:28,58.40,0, , , , 
2019-11-06 06:41:28,58.48,0, , , , 
2019-11-06 06:51:28,58.40,0, , , , 
2019-11-06 07:01:28,58.48,0, , , , 
2019-11-06 07:11:28,58.33,0, , , , 
2019-11-06 07:21:28,58.48,0, , , , 
2019-11-06 07:31:28,58.79,0, , , , 
2019-11-06 07:41:28,58.56,0, , , , 
2019-11-06 07:51:28,58.40,0, , , , 
2019-11-06 08:01:28,58.33,0, , , , 
2019-11-06 08:11:28,58.25,0, , , , 
2019-11-06 08:21:28,58.25,0, , , , 
2019-11-06 08:31:28,58.56,1, , , , 
2019-11-06 08:41:28,58.33,1, , , , 
2019-11-06 08:51:28,58.25,1, , , , 
2019-11-06 09:01:28,58.17,1, , , , 
2019-11-06 09:11:28,56.47,1, , , , 
2019-11-06 09:21:28,52.61,1, , , , 
2019-11-06 09:31:28,55.32,1, , , , 
2019-11-06 09:41:28,56.78,1, , , , 
2019-11-06 09:51:28,57.40,1, , , , 
2019-11-06 10:01:28,57.71,1, , , , 
2019-11-06 10:11:28,58.56,1, , , , 
2019-11-06 10:21:28,58.02,1, , , , 
2019-11-06 10:31:28,54.85,1, , , , 
2019-11-06 10:41:28,55.32,1, , , , 
2019-11-06 10:51:28,54.47,1, , , , 
2019-11-06 11:01:28,55.16,14, , , , 
2019-11-06 11:11:28,56.32,14, , , , 
2019-11-06 11:21:28,55.32,14, , , , 
2019-11-06 11:31:28,53.77,15, , , , 
2019-11-06 11:41:28,53.23,15, , , , 
2019-11-06 11:51:28,54.08,15, , , , 
2019-11-06 12:01:28,53.69,15, , , , 
2019-11-06 12:11:28,52.77,13, , , , 
2019-11-06 12:21:28,52.46,15, , , , 
2019-11-06 12:31:28,51.76,14, , , , 
2019-11-06 12:41:28,51.76,14, , , , 
2019-11-06 12:51:28,52.00,14, , , , 
2019-11-06 13:01:28,51.61,15, , , , 
2019-11-06 13:11:28,50.76,15, , , , 
2019-11-06 13:21:28,52.30,15, , , , 
2019-11-06 13:31:28,52.46,15, , , , 
2019-11-06 13:41:28,52.54,15, , , , 
2019-11-06 13:51:28,52.07,15, , , , 
2019-11-06 14:01:28,52.15,15, , , , 
2019-11-06 14:11:28,51.76,15, , , , 
2019-11-06 14:21:28,53.00,15, , , , 
2019-11-06 14:31:28,51.69,14, , , , 
2019-11-06 14:41:28,51.15,15, , , , 
2019-11-06 14:51:28,50.76,14, , , , 
2019-11-06 15:01:28,51.45,14, , , , 
2019-11-06 15:11:28,52.30,14, , , , 
2019-11-06 15:21:28,50.37,14, , , , 
2019-11-06 15:31:28,49.99,14, , , , 
2019-11-06 15:41:28,49.91,13, , , , 
2019-11-06 15:51:28,51.15,14, , , , 
2019-11-06 16:01:28,54.00,13, , , , 
2019-11-06 16:11:28,53.31,13, , , , 
2019-11-06 16:21:28,55.24,0, , , , 
2019-11-06 16:31:28,55.86,0, , , , 
2019-11-06 16:41:28,56.71,0, , , , 
2019-11-06 16:51:28,57.40,0, , , , 
2019-11-06 17:01:28,57.40,0, , , , 
2019-11-06 17:11:28,57.71,0, , , , 
2019-11-06 17:21:28,57.71,0, , , , 
2019-11-06 17:31:28,58.02,0, , , , 
2019-11-06 17:41:28,58.02,0, , , , 
2019-11-06 17:51:28,58.71,0, , , , 
2019-11-06 18:01:28,58.25,0, , , , 
2019-11-06 18:11:28,58.48,0, , , , 
2019-11-06 18:21:28,58.40,0, , , , 
2019-11-06 18:31:28,58.48,0, , , , 
