Serial Number:20472263 --

"Date Time, GMT -0500","Temp, (*F)","Intensity, ( lum/ft2)","Button Down","Button Up","Host Connect","EOF"
2020-05-24 08:27:33,45.35,6, , , , 
2020-05-24 08:37:33,45.20,6, , , , 
2020-05-24 08:47:33,45.35,6, , , , 
2020-05-24 08:57:33,45.35,9, , , , 
2020-05-24 09:07:33,45.43,18, , , , 
2020-05-24 09:17:33,45.35,24, , , , 
2020-05-24 09:27:33,45.28,23, , , , 
2020-05-24 09:37:33,45.28,22, , , , 
2020-05-24 09:47:33,45.35,13, , , , 
2020-05-24 09:57:33,45.51,26, , , , 
2020-05-24 10:07:33,45.35,27, , , , 
2020-05-24 10:17:33,45.35,27, , , , 
2020-05-24 10:27:33,45.43,28, , , , 
2020-05-24 10:37:33,45.35,27, , , , 
2020-05-24 10:47:33,45.35,13, , , , 
2020-05-24 10:57:33,45.28,9, , , , 
2020-05-24 11:07:33,45.35,14, , , , 
2020-05-24 11:17:33,45.35,6, , , , 
2020-05-24 11:27:33,45.28,15, , , , 
2020-05-24 11:37:33,45.82,16, , , , 
2020-05-24 11:47:33,45.43,18, , , , 
2020-05-24 11:57:33,45.20,14, , , , 
2020-05-24 12:07:33,45.12,12, , , , 
2020-05-24 12:17:33,45.20,20, , , , 
2020-05-24 12:27:33,45.59,23, , , , 
2020-05-24 12:37:33,45.59,16, , , , 
2020-05-24 12:47:33,45.89,17, , , , 
2020-05-24 12:57:33,45.20,16, , , , 
2020-05-24 13:07:33,44.97,24, , , , 
2020-05-24 13:17:33,44.81,32, , , , 
2020-05-24 13:27:33,45.35,27, , , , 
2020-05-24 13:37:33,45.74,9, , , , 
2020-05-24 13:47:33,45.35,31, , , , 
2020-05-24 13:57:33,45.51,32, , , , 
2020-05-24 14:07:33,45.97,23, , , , 
2020-05-24 14:17:33,45.28,24, , , , 
2020-05-24 14:27:33,45.20,18, , , , 
2020-05-24 14:37:33,45.59,22, , , , 
2020-05-24 14:47:33,45.59,11, , , , 
2020-05-24 14:57:33,45.20,19, , , , 
2020-05-24 15:07:33,46.05,23, , , , 
2020-05-24 15:17:33,45.43,11, , , , 
2020-05-24 15:27:33,45.35,10, , , , 
2020-05-24 15:37:33,45.51,10, , , , 
2020-05-24 15:47:33,45.05,10, , , , 
2020-05-24 15:57:33,45.66,14, , , , 
2020-05-24 16:07:33,46.05,10, , , , 
2020-05-24 16:17:33,45.74,12, , , , 
2020-05-24 16:27:33,45.28,6, , , , 
2020-05-24 16:37:33,45.28,9, , , , 
2020-05-24 16:47:33,45.20,12, , , , 
2020-05-24 16:57:33,45.59,12, , , , 
2020-05-24 17:07:33,45.28,10, , , , 
2020-05-24 17:17:33,45.82,6, , , , 
2020-05-24 17:27:33,45.43,5, , , , 
2020-05-24 17:37:33,45.89,5, , , , 
2020-05-24 17:47:33,45.82,5, , , , 
2020-05-24 17:57:33,45.12,5, , , , 
2020-05-24 18:07:33,45.51,5, , , , 
2020-05-24 18:17:33,45.28,2, , , , 
2020-05-24 18:27:33,45.89,2, , , , 
2020-05-24 18:37:33,45.59,2, , , , 
2020-05-24 18:47:33,45.74,2, , , , 
2020-05-24 18:57:33,45.35,3, , , , 
2020-05-24 19:07:33,45.05,2, , , , 
2020-05-24 19:17:33,45.59,2, , , , 
2020-05-24 19:27:33,45.82,1, , , , 
2020-05-24 19:37:33,45.74,1, , , , 
2020-05-24 19:47:33,45.35,1, , , , 
2020-05-24 19:57:33,45.51,1, , , , 
2020-05-24 20:07:33,45.51,0, , , , 
2020-05-24 20:17:33,45.20,0, , , , 
2020-05-24 20:27:33,45.43,0, , , , 
2020-05-24 20:37:33,45.59,0, , , , 
2020-05-24 20:47:33,45.74,0, , , , 
2020-05-24 20:57:33,45.35,0, , , , 
2020-05-24 21:07:33,45.35,0, , , , 
2020-05-24 21:17:33,45.59,0, , , , 
2020-05-24 21:27:33,45.59,0, , , , 
2020-05-24 21:37:33,45.59,0, , , , 
2020-05-24 21:47:33,45.43,0, , , , 
2020-05-24 21:57:33,45.43,0, , , , 
2020-05-24 22:07:33,45.35,0, , , , 
2020-05-24 22:17:33,45.51,0, , , , 
2020-05-24 22:27:33,45.51,0, , , , 
2020-05-24 22:37:33,45.43,0, , , , 
2020-05-24 22:47:33,45.43,0, , , , 
2020-05-24 22:57:33,45.59,0, , , , 
