Serial Number:20472265 --

"Date Time, GMT -0500","Temp, (*F)","Intensity, ( lum/ft2)","Host Connect","Button Down","Button Up","EOF"
2020-05-23 18:35:51,70.99,234, , , , 
2020-05-23 18:45:51,70.91,228, , , , 
2020-05-23 18:55:51,70.84,248, , , , 
2020-05-23 19:05:51,70.76,207, , , , 
2020-05-23 19:15:51,70.76,177, , , , 
2020-05-23 19:25:51,70.68,139, , , , 
2020-05-23 19:35:51,70.61,96, , , , 
2020-05-23 19:45:51,70.61,73, , , , 
2020-05-23 19:55:51,70.45,46, , , , 
2020-05-23 20:05:51,70.30,32, , , , 
2020-05-23 20:15:51,70.22,20, , , , 
2020-05-23 20:25:51,70.22,15, , , , 
2020-05-23 20:35:51,70.06,6, , , , 
2020-05-23 20:45:51,69.99,2, , , , 
2020-05-23 20:55:51,69.76,0, , , , 
2020-05-23 21:05:51,69.68,0, , , , 
2020-05-23 21:15:51,69.68,0, , , , 
2020-05-23 21:25:51,69.45,0, , , , 
2020-05-23 21:35:51,69.37,0, , , , 
2020-05-23 21:45:51,69.37,0, , , , 
2020-05-23 21:55:51,69.22,0, , , , 
2020-05-23 22:05:51,69.14,0, , , , 
2020-05-23 22:15:51,69.14,0, , , , 
2020-05-23 22:25:51,68.98,0, , , , 
2020-05-23 22:35:51,68.91,0, , , , 
2020-05-23 22:45:51,68.75,0, , , , 
2020-05-23 22:55:51,68.75,0, , , , 
2020-05-23 23:05:51,68.75,0, , , , 
2020-05-23 23:15:51,68.67,0, , , , 
2020-05-23 23:25:51,68.60,0, , , , 
2020-05-23 23:35:51,68.52,0, , , , 
2020-05-23 23:45:51,68.44,0, , , , 
2020-05-23 23:55:51,68.37,0, , , , 
2020-05-24 00:05:51,68.37,0, , , , 
2020-05-24 00:15:51,68.13,0, , , , 
2020-05-24 00:25:51,68.06,0, , , , 
2020-05-24 00:35:51,67.98,0, , , , 
2020-05-24 00:45:51,67.83,0, , , , 
2020-05-24 00:55:51,67.83,0, , , , 
2020-05-24 01:05:51,67.75,0, , , , 
2020-05-24 01:15:51,67.67,0, , , , 
2020-05-24 01:25:51,67.52,0, , , , 
2020-05-24 01:35:51,67.52,0, , , , 
2020-05-24 01:45:51,67.44,0, , , , 
2020-05-24 01:55:51,67.28,0, , , , 
2020-05-24 02:05:51,67.21,0, , , , 
2020-05-24 02:15:51,67.05,0, , , , 
2020-05-24 02:25:51,67.05,0, , , , 
2020-05-24 02:35:51,66.90,0, , , , 
2020-05-24 02:45:51,66.82,0, , , , 
2020-05-24 02:55:51,66.74,0, , , , 
2020-05-24 03:05:51,66.67,0, , , , 
2020-05-24 03:15:51,66.67,0, , , , 
2020-05-24 03:25:51,66.59,0, , , , 
2020-05-24 03:35:51,66.51,0, , , , 
2020-05-24 03:45:51,66.44,0, , , , 
2020-05-24 03:55:51,66.36,0, , , , 
2020-05-24 04:05:51,66.28,0, , , , 
2020-05-24 04:15:51,66.28,0, , , , 
2020-05-24 04:25:51,66.28,0, , , , 
2020-05-24 04:35:51,66.13,0, , , , 
2020-05-24 04:45:51,66.05,0, , , , 
2020-05-24 04:55:51,66.05,1, , , , 
2020-05-24 05:05:51,66.05,2, , , , 
2020-05-24 05:15:51,65.97,9, , , , 
2020-05-24 05:25:51,65.97,19, , , , 
2020-05-24 05:35:51,65.82,39, , , , 
2020-05-24 05:45:51,65.82,51, , , , 
2020-05-24 05:55:51,65.82,79, , , , 
2020-05-24 06:05:51,65.74,102, , , , 
2020-05-24 06:15:51,65.82,151, , , , 
2020-05-24 06:25:51,65.82,196, , , , 
2020-05-24 06:35:51,65.89,223, , , , 
2020-05-24 06:45:51,65.89,257, , , , 
2020-05-24 06:55:51,65.89,301, , , , 
2020-05-24 07:05:51,65.89,279, , , , 
2020-05-24 07:15:51,65.82,210, , , , 
2020-05-24 07:25:51,65.89,253, , , , 
2020-05-24 07:35:51,65.97,407, , , , 
